transaction_id,customer_id,purchase_datetime,product_id,product_name,category,quantity,unit_price,line_total,payment_method,store_branch
TXN00069,CUS0015,2026-03-25 12:00:04,P009,กระโปรงจีบ สีดำ,กระโปรง,2,690,1380,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00068,CUS0015,2026-05-06 13:21:12,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,3,890,2670,บัตรเครดิต,ออนไลน์
TXN00066,CUS0015,2026-07-11 13:59:28,P017,รองเท้าผ้าใบสีขาว,รองเท้า,3,1290,3870,เงินสด,ออนไลน์
TXN00067,CUS0015,2026-07-16 18:53:56,P022,หมวกแก๊ป,หมวก,3,350,1050,LINE Pay,สาขาเชียงใหม่
TXN00072,CUS0016,2026-04-07 15:35:20,P022,หมวกแก๊ป,หมวก,2,350,700,บัตรเครดิต,สาขาสยาม
TXN00071,CUS0016,2026-07-14 12:10:17,P003,เสื้อโปโล สีกรม,เสื้อโปโล,1,399,399,LINE Pay,สาขาสยาม
TXN00070,CUS0016,2026-08-31 20:18:38,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,2,259,518,บัตรเครดิต,สาขาเชียงใหม่
TXN00074,CUS0017,2024-08-01 11:16:52,P012,เดรสสีพื้น แขนกุด,เดรส,3,750,2250,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00073,CUS0017,2024-10-20 17:17:32,P007,กางเกงยีนส์ขาเดฟ,กางเกงยีนส์,2,950,1900,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00076,CUS0017,2025-03-22 11:37:33,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,3,259,777,บัตรเครดิต,ออนไลน์
TXN00075,CUS0017,2026-03-19 10:25:01,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,2,890,1780,โอนเงิน/พร้อมเพย์,สาขาเชียงใหม่
TXN00077,CUS0017,2026-08-03 17:09:18,P011,เดรสลายดอก,เดรส,2,890,1780,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00078,CUS0018,2026-06-18 20:27:46,P027,เสื้อแขนยาวลายสก็อต,เสื้อเชิ้ต,3,620,1860,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00082,CUS0019,2024-09-30 17:51:04,P027,เสื้อแขนยาวลายสก็อต,เสื้อเชิ้ต,2,620,1240,TrueMoney Wallet,สาขาสยาม
TXN00081,CUS0019,2024-10-16 20:34:43,P019,รองเท้าแตะ,รองเท้า,3,350,1050,บัตรเครดิต,ออนไลน์
TXN00084,CUS0019,2025-06-25 13:46:48,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,1,259,259,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00080,CUS0019,2025-10-01 11:24:53,P017,รองเท้าผ้าใบสีขาว,รองเท้า,3,1290,3870,LINE Pay,สาขาสยาม
TXN00083,CUS0019,2026-03-19 11:47:47,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,3,1050,3150,LINE Pay,สาขาเชียงใหม่
TXN00087,CUS0019,2026-06-03 12:21:16,P024,เข็มขัดหนัง,เข็มขัด,1,490,490,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00079,CUS0019,2026-07-17 13:05:01,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,3,199,597,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00085,CUS0019,2026-07-24 17:31:54,P022,หมวกแก๊ป,หมวก,3,350,1050,LINE Pay,สาขาสยาม
TXN00086,CUS0019,2026-08-28 14:49:02,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,2,790,1580,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00088,CUS0020,2026-06-03 14:43:06,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,1,850,850,บัตรเครดิต,ออนไลน์
TXN00091,CUS0021,2024-07-02 13:04:37,P010,กระโปรงยีนส์,กระโปรง,2,720,1440,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00093,CUS0021,2025-05-16 13:31:57,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,1,199,199,LINE Pay,ออนไลน์
TXN00090,CUS0021,2025-11-24 11:52:32,P017,รองเท้าผ้าใบสีขาว,รองเท้า,2,1290,2580,LINE Pay,สาขาเชียงใหม่
TXN00092,CUS0021,2026-04-07 14:23:08,P015,ฮู้ดดี้ สีเทา,ฮู้ดดี้,3,690,2070,TrueMoney Wallet,สาขาเชียงใหม่
TXN00089,CUS0021,2026-05-28 13:19:05,P023,หมวกบักเก็ต,หมวก,1,390,390,LINE Pay,สาขาสยาม
TXN00094,CUS0022,2026-06-20 20:28:25,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,1,890,890,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00101,CUS0023,2023-06-15 10:59:46,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,3,1050,3150,LINE Pay,ออนไลน์
TXN00098,CUS0023,2024-08-07 20:59:09,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,1,590,590,บัตรเครดิต,สาขาเชียงใหม่
TXN00096,CUS0023,2025-02-01 11:25:24,P013,แจ็คเก็ตยีนส์,แจ็คเก็ต,2,1290,2580,TrueMoney Wallet,สาขาสยาม
TXN00095,CUS0023,2025-03-26 11:59:12,P012,เดรสสีพื้น แขนกุด,เดรส,2,750,1500,เงินสด,สาขาเชียงใหม่
TXN00097,CUS0023,2025-05-26 14:54:03,P011,เดรสลายดอก,เดรส,2,890,1780,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00099,CUS0023,2025-11-12 15:12:49,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,2,790,1580,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00100,CUS0023,2026-07-16 16:58:56,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,1,259,259,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00106,CUS0024,2025-03-02 12:21:35,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,1,850,850,เงินสด,สาขาเชียงใหม่
TXN00104,CUS0024,2025-05-14 11:13:32,P021,กระเป๋าเป้,กระเป๋า,1,1190,1190,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00103,CUS0024,2025-08-01 14:30:35,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,3,550,1650,LINE Pay,สาขาสยาม
TXN00109,CUS0024,2025-09-02 15:48:03,P029,แว่นกันแดด,แอคเซสซอรี่,2,450,900,LINE Pay,สาขาเชียงใหม่
TXN00111,CUS0024,2025-09-03 13:24:25,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,1,1050,1050,LINE Pay,ออนไลน์
TXN00105,CUS0024,2025-11-05 17:27:08,P010,กระโปรงยีนส์,กระโปรง,2,720,1440,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00102,CUS0024,2025-11-16 14:19:16,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,2,199,398,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00110,CUS0024,2025-12-03 12:43:32,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,3,890,2670,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00107,CUS0024,2025-12-12 14:51:36,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,1,259,259,บัตรเครดิต,สาขาสยาม
TXN00108,CUS0024,2026-01-26 16:26:47,P018,รองเท้าผ้าใบลายพราง,รองเท้า,3,1390,4170,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00115,CUS0025,2023-04-18 10:50:08,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,3,550,1650,บัตรเครดิต,สาขาสยาม
TXN00114,CUS0025,2023-12-05 18:43:06,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,1,259,259,LINE Pay,สาขาสยาม
TXN00116,CUS0025,2024-10-11 12:40:16,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,3,259,777,TrueMoney Wallet,ออนไลน์
TXN00113,CUS0025,2025-09-12 17:15:50,P027,เสื้อแขนยาวลายสก็อต,เสื้อเชิ้ต,3,620,1860,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00112,CUS0025,2025-09-23 19:31:00,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,2,790,1580,เงินสด,ออนไลน์
TXN00118,CUS0026,2024-06-25 10:34:19,P003,เสื้อโปโล สีกรม,เสื้อโปโล,3,399,1197,LINE Pay,สาขาเชียงใหม่
TXN00117,CUS0026,2025-12-13 19:12:24,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,2,590,1180,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00122,CUS0027,2024-08-24 21:21:45,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,2,850,1700,LINE Pay,สาขาเชียงใหม่
TXN00120,CUS0027,2025-02-04 17:56:43,P027,เสื้อแขนยาวลายสก็อต,เสื้อเชิ้ต,1,620,620,LINE Pay,สาขาสยาม
TXN00121,CUS0027,2025-03-11 20:27:59,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,2,450,900,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00119,CUS0027,2025-03-30 10:26:45,P021,กระเป๋าเป้,กระเป๋า,3,1190,3570,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00123,CUS0027,2025-08-30 13:00:51,P017,รองเท้าผ้าใบสีขาว,รองเท้า,3,1290,3870,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00124,CUS0027,2025-12-10 13:19:49,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,1,790,790,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00126,CUS0028,2023-01-20 13:01:38,P009,กระโปรงจีบ สีดำ,กระโปรง,2,690,1380,บัตรเครดิต,ออนไลน์
TXN00127,CUS0028,2023-02-01 12:25:28,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,1,199,199,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00128,CUS0028,2023-09-05 15:12:11,P010,กระโปรงยีนส์,กระโปรง,1,720,720,TrueMoney Wallet,ออนไลน์
TXN00130,CUS0028,2023-09-12 11:00:05,P020,กระเป๋าสะพายข้าง,กระเป๋า,2,990,1980,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00125,CUS0028,2024-01-01 17:26:58,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,1,450,450,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00132,CUS0028,2024-06-24 16:05:03,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,2,790,1580,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00129,CUS0028,2024-06-30 20:46:24,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,1,590,590,โอนเงิน/พร้อมเพย์,สาขาเชียงใหม่
TXN00131,CUS0028,2025-02-07 11:35:48,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,2,850,1700,บัตรเครดิต,ออนไลน์
TXN00137,CUS0029,2024-09-22 21:48:38,P012,เดรสสีพื้น แขนกุด,เดรส,2,750,1500,เงินสด,สาขาสยาม
TXN00133,CUS0029,2024-10-20 20:26:15,P018,รองเท้าผ้าใบลายพราง,รองเท้า,2,1390,2780,LINE Pay,สาขาสยาม
TXN00134,CUS0029,2024-10-24 17:04:51,P015,ฮู้ดดี้ สีเทา,ฮู้ดดี้,2,690,1380,เงินสด,สาขาเชียงใหม่
TXN00136,CUS0029,2024-11-02 14:47:45,P011,เดรสลายดอก,เดรส,3,890,2670,โอนเงิน/พร้อมเพย์,สาขาเชียงใหม่
TXN00135,CUS0029,2024-11-22 19:21:23,P007,กางเกงยีนส์ขาเดฟ,กางเกงยีนส์,1,950,950,โอนเงิน/พร้อมเพย์,สาขาเชียงใหม่
TXN00138,CUS0029,2025-01-06 17:45:29,P024,เข็มขัดหนัง,เข็มขัด,1,490,490,LINE Pay,สาขาเชียงใหม่
TXN00141,CUS0030,2024-03-20 20:02:30,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,2,550,1100,TrueMoney Wallet,สาขาเชียงใหม่
TXN00140,CUS0030,2024-04-18 18:12:25,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,2,850,1700,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00143,CUS0030,2024-05-24 16:31:45,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,1,890,890,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00144,CUS0030,2024-08-07 16:29:39,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,1,259,259,บัตรเครดิต,สาขาสยาม
TXN00139,CUS0030,2024-09-13 19:15:20,P027,เสื้อแขนยาวลายสก็อต,เสื้อเชิ้ต,2,620,1240,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00145,CUS0030,2025-07-02 14:36:17,P024,เข็มขัดหนัง,เข็มขัด,2,490,980,โอนเงิน/พร้อมเพย์,สาขาเชียงใหม่
TXN00142,CUS0030,2026-03-31 11:04:16,P029,แว่นกันแดด,แอคเซสซอรี่,1,450,450,TrueMoney Wallet,สาขาสยาม
TXN00149,CUS0031,2024-11-06 14:14:07,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,2,890,1780,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00148,CUS0031,2025-01-08 10:30:56,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,1,450,450,บัตรเครดิต,ออนไลน์
TXN00147,CUS0031,2026-02-27 18:14:41,P015,ฮู้ดดี้ สีเทา,ฮู้ดดี้,1,690,690,เงินสด,ออนไลน์
TXN00146,CUS0031,2026-05-11 13:20:04,P007,กางเกงยีนส์ขาเดฟ,กางเกงยีนส์,2,950,1900,LINE Pay,สาขาเชียงใหม่
TXN00150,CUS0031,2026-05-16 13:59:04,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,3,550,1650,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00152,CUS0032,2023-01-03 13:16:02,P009,กระโปรงจีบ สีดำ,กระโปรง,1,690,690,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00154,CUS0032,2023-11-25 10:50:31,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,1,790,790,TrueMoney Wallet,ออนไลน์
TXN00157,CUS0032,2024-05-07 20:19:26,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,2,590,1180,เงินสด,สาขาเชียงใหม่
TXN00153,CUS0032,2024-08-05 16:43:23,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,1,199,199,บัตรเครดิต,สาขาเชียงใหม่
TXN00155,CUS0032,2025-01-17 11:50:25,P022,หมวกแก๊ป,หมวก,1,350,350,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00156,CUS0032,2025-10-02 11:41:10,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,3,259,777,LINE Pay,สาขาเชียงใหม่
TXN00158,CUS0032,2025-12-08 15:26:26,P021,กระเป๋าเป้,กระเป๋า,3,1190,3570,เงินสด,สาขาเชียงใหม่
TXN00151,CUS0032,2026-03-27 15:13:02,P020,กระเป๋าสะพายข้าง,กระเป๋า,3,990,2970,โอนเงิน/พร้อมเพย์,สาขาเชียงใหม่
TXN00159,CUS0033,2024-02-19 16:07:52,P013,แจ็คเก็ตยีนส์,แจ็คเก็ต,2,1290,2580,เงินสด,ออนไลน์
TXN00160,CUS0033,2025-04-20 17:49:10,P024,เข็มขัดหนัง,เข็มขัด,3,490,1470,บัตรเครดิต,สาขาสยาม
TXN00162,CUS0033,2025-05-03 21:32:10,P001,เสื้อยืดคอกลม สีขาว,เสื้อยืด,3,259,777,บัตรเครดิต,สาขาเชียงใหม่
TXN00161,CUS0033,2026-05-08 12:41:51,P007,กางเกงยีนส์ขาเดฟ,กางเกงยีนส์,1,950,950,LINE Pay,สาขาสยาม
TXN00164,CUS0034,2025-06-21 19:59:40,P017,รองเท้าผ้าใบสีขาว,รองเท้า,2,1290,2580,LINE Pay,สาขาสยาม
